block,start_date,end_date,return_pct
B3_short_term_reversal,2022-04-13,2023-04-13,-2.1518842073094624
B3_short_term_reversal,2022-04-14,2023-04-14,-0.5652234745368023
B3_short_term_reversal,2022-04-14,2023-04-17,-0.765401108976449
B3_short_term_reversal,2022-04-18,2023-04-18,0.076591894345035
B3_short_term_reversal,2022-04-19,2023-04-19,-0.33677372682132667
B3_short_term_reversal,2022-04-20,2023-04-20,-0.9524998464054635
B3_short_term_reversal,2022-04-21,2023-04-21,-1.2187722769497533
B3_short_term_reversal,2022-04-22,2023-04-24,-0.9547652716325628
B3_short_term_reversal,2022-04-25,2023-04-25,-2.806637745621543
B3_short_term_reversal,2022-04-26,2023-04-26,-3.823692819907276
B3_short_term_reversal,2022-04-27,2023-04-27,-1.655845177325621
B3_short_term_reversal,2022-04-28,2023-04-28,-0.08694409630278788
B3_short_term_reversal,2022-04-29,2023-05-01,-0.3647122757367116
B3_short_term_reversal,2022-05-02,2023-05-02,-2.2807831897463826
B3_short_term_reversal,2022-05-03,2023-05-03,-3.181073419251712
B3_short_term_reversal,2022-05-04,2023-05-04,-4.1510277200170975
B3_short_term_reversal,2022-05-05,2023-05-05,-2.3937320555190267
B3_short_term_reversal,2022-05-06,2023-05-08,-3.1482848565390076
B3_short_term_reversal,2022-05-09,2023-05-09,-3.413692816101488
B3_short_term_reversal,2022-05-10,2023-05-10,-3.6507436521483694
B3_short_term_reversal,2022-05-11,2023-05-11,-4.113907589660249
B3_short_term_reversal,2022-05-12,2023-05-12,-4.153895585306488
B3_short_term_reversal,2022-05-13,2023-05-15,-2.8602782222876155
B3_short_term_reversal,2022-05-16,2023-05-16,-4.797455660981898
B3_short_term_reversal,2022-05-17,2023-05-17,-2.620929018903151
B3_short_term_reversal,2022-05-18,2023-05-18,-1.8908796097444003
B3_short_term_reversal,2022-05-19,2023-05-19,-2.1550963374658005
B3_short_term_reversal,2022-05-20,2023-05-22,-2.669337201305544
B3_short_term_reversal,2022-05-23,2023-05-23,-3.2193243653186876
B3_short_term_reversal,2022-05-24,2023-05-24,-4.144644745164805
B3_short_term_reversal,2022-05-25,2023-05-25,-5.2498780076436935
B3_short_term_reversal,2022-05-26,2023-05-26,-4.897416547110966
B3_short_term_reversal,2022-05-27,2023-05-30,-6.025408183982705
B3_short_term_reversal,2022-05-31,2023-05-31,-5.890720092920077
B3_short_term_reversal,2022-06-01,2023-06-01,-5.762569705646725
B3_short_term_reversal,2022-06-02,2023-06-02,-4.369183042286329
B3_short_term_reversal,2022-06-03,2023-06-05,-5.236169269560098
B3_short_term_reversal,2022-06-06,2023-06-06,-5.207250335200387
B3_short_term_reversal,2022-06-07,2023-06-07,-4.991570186182759
B3_short_term_reversal,2022-06-08,2023-06-08,-4.783838899889082
B3_short_term_reversal,2022-06-09,2023-06-09,-4.763673610378105
B3_short_term_reversal,2022-06-10,2023-06-12,-3.8917610458349183
B3_short_term_reversal,2022-06-13,2023-06-13,-2.9292471304516288
B3_short_term_reversal,2022-06-14,2023-06-14,-1.7828881789794693
B3_short_term_reversal,2022-06-15,2023-06-15,-0.6631682634538949
B3_short_term_reversal,2022-06-16,2023-06-16,-0.9131597261880953
B3_short_term_reversal,2022-06-17,2023-06-20,-1.7863740272809792
B3_short_term_reversal,2022-06-21,2023-06-21,-2.02720648826481
B3_short_term_reversal,2022-06-22,2023-06-22,-2.0597312342136465
B3_short_term_reversal,2022-06-23,2023-06-23,-2.9091114597424417
B3_short_term_reversal,2022-06-24,2023-06-26,-2.8793608688956085
B3_short_term_reversal,2022-06-27,2023-06-27,-1.1839791942572564
B3_short_term_reversal,2022-06-28,2023-06-28,-1.3580259206303902
B3_short_term_reversal,2022-06-29,2023-06-29,-0.5714677133907942
B3_short_term_reversal,2022-06-30,2023-06-30,0.6232489653533069
B3_short_term_reversal,2022-07-01,2023-07-03,1.1850866434485852
B3_short_term_reversal,2022-07-05,2023-07-05,1.49689977673384
B3_short_term_reversal,2022-07-06,2023-07-06,0.15755810447524166
B3_short_term_reversal,2022-07-07,2023-07-07,-0.6918986502222002
B3_short_term_reversal,2022-07-08,2023-07-10,0.21246431450725467
B3_short_term_reversal,2022-07-11,2023-07-11,0.5675674293169841
B3_short_term_reversal,2022-07-12,2023-07-12,0.36760405595444023
B3_short_term_reversal,2022-07-13,2023-07-13,0.8784670583764642
B3_short_term_reversal,2022-07-14,2023-07-14,1.417202339131185
B3_short_term_reversal,2022-07-15,2023-07-17,0.6739856123539001
B3_short_term_reversal,2022-07-18,2023-07-18,1.4856037878678618
B3_short_term_reversal,2022-07-19,2023-07-19,2.4805375029716803
B3_short_term_reversal,2022-07-20,2023-07-20,3.00486576395369
B3_short_term_reversal,2022-07-21,2023-07-21,3.3953818496675003
B3_short_term_reversal,2022-07-22,2023-07-24,3.8364077287522225
B3_short_term_reversal,2022-07-25,2023-07-25,3.9891572103181394
B3_short_term_reversal,2022-07-26,2023-07-26,4.256883864900396
B3_short_term_reversal,2022-07-27,2023-07-27,4.708860281132132
B3_short_term_reversal,2022-07-28,2023-07-28,6.167192679453959
B3_short_term_reversal,2022-07-29,2023-07-31,6.627173788805929
B3_short_term_reversal,2022-08-01,2023-08-01,6.237732712360833
B3_short_term_reversal,2022-08-02,2023-08-02,4.498623808356861
B3_short_term_reversal,2022-08-03,2023-08-03,3.581095726151351
B3_short_term_reversal,2022-08-04,2023-08-04,2.9408437015687516
B3_short_term_reversal,2022-08-05,2023-08-07,3.077188148653942
B3_short_term_reversal,2022-08-08,2023-08-08,1.9746841065762855
B3_short_term_reversal,2022-08-09,2023-08-09,0.9134078560905978
B3_short_term_reversal,2022-08-10,2023-08-10,1.0034700253559903
B3_short_term_reversal,2022-08-11,2023-08-11,0.10698614002322415
B3_short_term_reversal,2022-08-12,2023-08-14,2.346614333762864
B3_short_term_reversal,2022-08-15,2023-08-15,0.5855688224474465
B3_short_term_reversal,2022-08-16,2023-08-16,-1.0198276797473538
B3_short_term_reversal,2022-08-17,2023-08-17,-1.89084449854654
B3_short_term_reversal,2022-08-18,2023-08-18,-1.670189390891974
B3_short_term_reversal,2022-08-19,2023-08-21,-0.8764108345617916
B3_short_term_reversal,2022-08-22,2023-08-22,-1.5255272632005767
B3_short_term_reversal,2022-08-23,2023-08-23,-0.2652796369947086
B3_short_term_reversal,2022-08-24,2023-08-24,-2.2198765449402913
B3_short_term_reversal,2022-08-25,2023-08-25,-0.7797017812808615
B3_short_term_reversal,2022-08-26,2023-08-28,0.041444424099057464
B3_short_term_reversal,2022-08-29,2023-08-29,1.270723010213226
B3_short_term_reversal,2022-08-30,2023-08-30,1.3877408344926012
B3_short_term_reversal,2022-08-31,2023-08-31,0.7103115090226098
B3_short_term_reversal,2022-09-01,2023-09-01,1.24462737212081
B3_short_term_reversal,2022-09-02,2023-09-05,0.034433516421383814
B3_short_term_reversal,2022-09-06,2023-09-06,-0.7515661268572393
B3_short_term_reversal,2022-09-07,2023-09-07,-0.8590429448562142
B3_short_term_reversal,2022-09-08,2023-09-08,-0.5785147950485126
B3_short_term_reversal,2022-09-09,2023-09-11,-0.6047742161881531
B3_short_term_reversal,2022-09-12,2023-09-12,-1.6004640917991808
B3_short_term_reversal,2022-09-13,2023-09-13,-1.1548849992110588
B3_short_term_reversal,2022-09-14,2023-09-14,-0.15838335804807535
B3_short_term_reversal,2022-09-15,2023-09-15,-1.2259387432927649
B3_short_term_reversal,2022-09-16,2023-09-18,-1.1386392495274733
B3_short_term_reversal,2022-09-19,2023-09-19,-1.463699317884648
B3_short_term_reversal,2022-09-20,2023-09-20,-2.3589584973903843
B3_short_term_reversal,2022-09-21,2023-09-21,-4.741359899542063
B3_short_term_reversal,2022-09-22,2023-09-22,-4.563504687794683
B3_short_term_reversal,2022-09-23,2023-09-25,-4.039137108447011
